W_top,W_bot,tsi,Vg
1.75,62.67,20.78,37.2
5.77,188.4,35.42,13.82
2.36,58.63,40.54,14.74
29.21,126.48,36.24,32.7
48.25,192.51,31.94,22.01
60.49,66.89,16.91,16.2
17.48,163.76,42.07,9.29
4.68,38.03,27.97,25.33
53.61,60.66,43.11,21.88
190.49,239.82,49.74,17.24
3.16,132.75,39.96,22.9
104.37,130.77,23.03,14.27
72.9,183.51,40.01,9.23
88.53,112.06,36.57,12.73
4.81,25.57,30.1,7.97
16.12,131.09,39.25,4.31
29,32.08,42.46,4.8
5.18,167.62,11.62,20.64
25.89,79.16,27.2,31.82
39.95,106.14,24.53,8.75
65.98,217.56,24.18,27.49
98.19,129.75,42.15,20.64
186.13,247.9,29.1,23.23
100.88,159.26,42.49,3.07
56.1,67.7,31.44,9.71
145.19,234.39,48.02,13.41
32.55,205.96,40.69,1.06
61.45,125.75,48.72,28.12
22.72,112.87,33.25,10.5
158.22,224.97,33.64,32.39
110.51,187.3,40.58,13.53
16.67,98.06,20.04,23.87
31.01,158.38,34.71,19.05
99.76,244.55,12.17,36.51
13.5,22.09,20.65,22.15
3.98,98.97,13.66,39.76
214.4,223.7,21.63,35.9
46.25,234.38,23.3,6.04
20.08,123.96,32.36,16.22
128.02,174.04,28.98,12.72
30.15,136.4,26.14,16.24
168.15,200.39,33.55,20.03
172.69,201.38,41.48,18.3
34.82,220.21,12.33,6.27
7.21,26.73,44.91,25.27
7.15,60.46,37.97,3.39
0.73,55.13,28.59,33.49
16.61,18.08,26.37,32.56
10.36,17.85,39.14,3.94
12.56,26.87,41.96,29.03
32.43,39.35,33.7,17.71
40.53,192.66,10.95,10.98
2.18,32.37,24.71,27.71
83.9,202.9,22.75,30.26
142.85,157.49,47.56,27.56
21.24,25.45,17.85,6.24
9.64,27.27,29.8,32.83
85.79,235.98,33.6,0.97
83.51,152.89,49.32,15.8
90.57,124.05,31.5,39.37
115.22,146.28,28.54,6.63
20.72,198.8,38.36,0.28
25.6,52.37,47.76,6.25
14.14,55.67,30.58,16.72
12.08,14.08,40.33,18.08
20.69,25.68,45.9,25.68
6.64,224.51,19.83,38.02
152.09,230.17,38.78,18.07
36.87,195.12,49.13,24.48
0.52,49.34,11.35,28.74
78.61,164.82,46.69,14.27
34.9,73.59,45.3,5.66
1.88,12.26,14.93,11.87
74.17,209.75,47.52,4.13
37.18,237.95,13.68,38.9
33.98,78.84,32.7,18.91
8.2,17.91,42.72,3.63
72.66,139.67,36.81,36.74
9.61,30.92,43.27,6.04
14.9,144.8,27.42,12.91
217.96,237.19,15.2,33.99
41.19,59.56,25.04,27.12
26.11,116.59,27.35,13.54
78.15,96.26,43.29,36.92
18.58,21.09,12,17.31
17.94,107.82,12.17,36.49
150.36,162.22,44.16,26.28
38.69,44.21,43.56,6.22
126.32,127.85,25.46,23.18
129.03,211.97,31.25,16.74
31.68,44.28,40.79,20.71
65.68,104.79,38.11,23.28
11.85,233.74,17.77,13.28
21.75,230.04,41.51,8.44
39.89,96.01,42.05,34.46
38.57,63.83,13.59,19.57
93.31,140.69,31.83,24.83
25.62,206.67,15.83,39.7
157.65,226.19,23.18,21.88
43.39,205.55,12.33,19.44
74.54,150.33,10.64,2.62
104.08,113.02,49.54,28.95
108.74,123.17,30,33.94
204.45,249.19,14.04,29.52
98.14,98.85,21.65,15.85
113.24,157.01,13.35,19.19
28.14,208.59,37.07,28.67
15.5,207.26,38.51,39.03
9.99,16.21,35.29,35.64
66.85,173.5,24.05,9.26
85.82,101.59,15.86,13.29
20.21,116.73,17.71,11.45
160.26,214.73,48.97,0.58
50.8,74.04,40.04,33.6
103.8,173.89,14.98,24.16
79.49,160.13,31.66,6.42
31,145.87,16.32,4.64
50.15,162.9,32.28,16.79
11.67,25.57,49.43,4.76
141.42,184.34,38.26,14.9
142.32,209.15,31.96,35.14
166.49,237.91,42.74,30.18
117.59,178.51,19.7,5.89
15.43,22.22,27.43,21.54
9.62,56,10.86,0.94
49.38,107.4,31.04,31.62
61.65,196.97,13.57,39.03
1.58,49.08,48.48,6.42
23.26,79.27,25.88,38.7
0.96,31.66,46.37,11.74
7.67,28.37,18.68,2.04
74.41,84.75,29.44,14.02
152.94,166.96,49.71,17.89
129.93,232.67,14.1,28.74
28.04,88.54,49.38,7.98
60.7,131.41,14.88,36.97
165.54,197.77,39.38,18.66
34.71,61.76,45.02,36.7
56.32,64.58,42.2,18.65
86.57,194.24,34.86,9.41
39.55,53.01,16.83,27.79
20.03,241.22,34.54,5.55
92.78,129.2,44.15,35.55
3.44,231.68,36.46,36.88
50.07,119.26,19.55,35
27.23,34.72,45.43,34.18
103.35,122.03,11.59,4.69
86.57,135.49,21.15,25.67
18.53,20.52,45.48,14.01
27.57,124.78,48.55,28.57
112.94,193.59,38.94,1.2
60.46,91.1,27.74,10.4
9.12,77.72,38.72,3.33
72.04,118.42,24.9,25.83
8.26,15.76,12.23,11.92
10.67,13.83,22.47,39.39
1.89,13.27,42.02,3.29
124.15,163.57,21.53,12.89
10.64,32.81,12.83,29.49
21.67,146.33,29.17,4.93
93.39,171.01,16.96,10.19
27.22,141.33,25.05,31.15
159.97,164.27,47.69,1.26
122.2,186.17,27.64,17.59
106.74,239.44,29.1,14.16
17.41,38.94,22.79,24.8
91.92,192.88,25.28,34.92
20.09,42.82,31.79,24.47
180.16,204.12,47.57,24.18
1.02,38.65,39.45,11.19
6.78,141.96,41.85,22.02
117.78,136.3,27.41,17.81
44.54,217.65,14.02,26.46
26.48,72.2,37.01,8.24
17.05,21.63,19.45,14.87
1.91,90.93,43.46,6.68
74.03,185.59,20.28,21.89
5.54,89.98,12.25,34.88
63.07,216.63,35.67,16.71
59.57,66.43,13,19.16
174.68,190.24,26.4,34.77
191.1,231.64,33,5.52
18.93,22.69,11.96,28.66
209.69,214.13,30.69,14.96
10.8,23.43,19.2,0.15
85.3,110.95,38.79,30.44
38.42,81.21,29.69,29.04
25.26,39.14,21.78,36.7
224.38,236.15,35.1,10.27
24.58,248.08,15.91,28.58
52.56,170.36,32.24,4.27
92.85,121.47,33.04,36.55
34.8,39.84,24.24,38.54
106.09,112.13,45.74,5.94
11.91,21.08,28.77,14.7
90.15,170.76,43.96,31.39
80.87,182.93,23.71,21.53
80.63,182.63,13.2,10.07
62.89,124.58,46.8,31.76
71.74,114.41,10.52,34.71
125.46,181.57,20.92,23.24
25.61,34.81,21.64,3.16
7.82,187.06,23.28,12.97
28,98.75,32.06,19.9
155.93,158.94,14.62,25.05
52.69,209.57,48.64,30.29
43.86,50.36,14.79,25.22
74.92,167.43,45.92,5.3
14.82,20.02,34.74,8.88
15.46,27.95,37.37,38.97
41.09,46.22,13.97,15.37
58.27,128.61,25.52,30.65
51.64,60.47,16.32,25.52
173.31,238.91,16.67,32.21
48.19,60.6,32.36,1.51
92.06,121.08,31.92,16.2
175.26,227.35,42.54,3.12
69.59,80.44,35.37,22.62
6.28,88.16,47.07,13
50.1,51.18,45.07,2.31
34.39,247.33,38.02,29.25
27.71,224.84,48.11,12.83
0.64,22.14,42.59,16.6
91.57,101.48,11.96,26.17
108.48,202.77,27.51,12.46
13.08,121.02,47.13,30.86
36.46,123.12,21.41,18.43
129.48,153.95,45.31,20.16
54.61,139.95,19.92,35.53
90.19,194.71,25.07,31.76
75.41,138.29,27.39,29.95
37.34,90.14,29.62,26.86
147.14,189.8,14.14,29.11
33.25,248.04,29.06,11.37
38.93,76.34,17.71,8.96
137.13,243.76,46.23,6.15
21.62,32.4,26.9,24.17
5.67,84.77,45.22,8.95
100.91,108.14,45.43,18.51
0.16,163.75,19.63,31.71
160.72,197.4,27.25,19.42
203.92,220.16,16.8,39.07
54.12,64,27.49,4.73
38.78,69.04,25.82,23.77
150.04,243.05,33.49,8.34
7.07,41.91,47.22,35.23
65.71,99.89,20.21,16.87
38.6,110.93,37.49,29.03
144.54,144.96,32.61,23.15
90.53,91.04,49.36,23.4
120.31,142.77,18.51,35.48
94.73,125.13,13.53,27.38
6.61,17.93,37.15,19.44
6.09,21.63,32.48,18.67
103.38,233.45,44.2,18.89
180.62,202.99,36.23,10.49
37.12,129.09,35.61,23.92
16.91,95.88,24.37,35.61
9.4,235.27,42.4,39.03
18.12,41.8,46.92,12.46
106.22,234.18,23.09,0.67
118.39,214.19,30.94,18.13
134.44,174.26,41.47,13.46
2.38,237.65,10.17,21.2
86.31,136.74,41.94,35.74
35.37,128.18,29.31,13.28
111,129.76,43.15,30.78
10.77,68.65,40.8,2.21
107.86,229.95,36.34,36.23
87.77,128.45,37.43,35.03
64.86,129.85,16.59,8.98
40.95,109.56,46.02,27.98
50.5,98.85,36.05,34.93
7.52,69,22.29,5.02
1.44,79.43,29.64,39.56
133.04,136.22,20.78,26.3
65.53,249.08,46.85,6.32
129.36,203.05,19.5,4.7
42.17,205.3,21.55,1.18
22.76,73.93,30.11,3.28
20.95,86.1,21.42,23.85
42.58,69.71,13.85,12.85
80.17,162.37,14.26,2.08
86.48,161.58,12.95,4.03
41.47,86.8,25.76,19.12
21.76,100.39,15.62,15.9
8.52,18.45,16.85,37.76
131.59,153.63,45.41,23.93
192.61,233.13,23.06,20.27
78.3,215.14,14.96,19.7
11.77,133.21,20.37,25.09
68.9,93.4,19.5,33.34
28.81,41.35,27.48,30.68
32.36,83.1,27.55,36.52
44.29,55.93,17.25,6.18
83.83,90.35,23.83,37.79
70.51,175.33,21.53,34.83
17.6,116.11,17.16,14.06
108.3,123.06,30.12,39.85
56.7,205.09,43.57,23.93
86.71,153.68,25.13,34.23
1.25,71.68,22.91,13.38
86.27,159.65,32.31,18.21
47.32,82.64,37.89,32.33
75.84,226.24,23.79,8
78.86,116.26,11.48,27.21
40.55,86.41,45.98,10.23
224.73,226.87,49.86,1.06
15.53,36.68,11.2,31.64
1.7,53.47,35.71,31.17
15.62,59.56,26.18,8.85
92.42,95.68,39.58,8.18
33.54,70.5,18.87,25.48
113.89,131.69,16.74,39.44
87.97,98.18,26.65,12.1
194.85,231.35,44.73,34.94
199.76,239.49,44.9,39.52
25.24,73.21,13.67,1.33
130.33,202.99,25.47,18.41
181.8,193.9,16.62,21.54
125.55,160.66,19.35,36.46
74.96,91,29.72,37.56
36.61,37.25,40.78,7.29
127.88,166.81,15.86,24.67
59.69,62.71,15.94,22.12
163.86,236.09,12,0.59
52.48,247.1,40.44,23.86
5.87,34.48,39.61,3.62
48.67,191.24,11.5,8.85
102.68,128.05,34.27,14.23
30.75,40.32,14.56,35.59
40.57,42.75,34.75,6.35
1.62,17.87,43.9,28.12
104.05,167.34,29.13,10.96
11.11,18.18,37.92,33.42
43.98,100.86,32.04,36.44
2.75,161.77,27.05,32.5
123.16,160.65,21.55,26.97
120.78,233.25,47.32,7.32
20.49,20.79,29.64,10.23
120.95,149.54,41.07,38.35
128.48,181.92,18.28,22.2
76.28,205.71,27.31,6.69
9.03,13.94,41.23,9.28
79.72,210.51,15.68,39.76
29.71,112.96,34.01,17.98
23.8,84.76,32.57,16.68
186.38,201.29,11.7,26.48
6.32,48.8,33.03,31.08
56.4,166.33,47.64,2.28
7.61,195.22,31.5,28.9
53.87,77.5,26.79,0.92
2.95,99.96,17.1,3.97
71.83,215.23,42.52,32.72
144.66,176.87,40.59,10.1
36.17,207.95,45.41,1.93
3.09,114.48,47.21,6.97
43.98,71.6,16.98,2.81
66.13,186.26,26.19,0.44
73.28,153.82,11.81,30.71
29,131.17,15.34,19.98
35.64,111.96,27.31,0.6
35.68,58.14,27.93,34.84
23.59,135.22,31.46,30.46
98.43,177.16,35.21,26.8
221.84,249.33,32.13,24.47
0.39,231.9,15.48,36.76
105.51,173.98,39.41,19.9
7.81,120.29,42.59,10.93
63.19,136.44,49.45,33.31
10.42,22.84,16.57,12.72
18.26,24.37,38.54,13.24
10.36,231.35,47.23,11.6
8.05,43.31,32.45,13.08
20.19,34.76,17.26,14.87
83.42,201.12,42.46,16.57
58.88,87.02,26.46,5.72
27.15,64.1,20.56,13.07
45.35,93.92,34.85,19.45
169.39,171.77,23.48,35.21
11.29,42.33,32.46,22.5
205.92,226.33,45.34,34.26
36.74,109.84,38.5,8.71
147.79,158.48,46.64,9.94
28.49,54.21,18.74,1.09
7.63,92.63,42.25,34.21
25.1,72.7,46.7,33.4
69.8,125.41,11.35,27.84
7.97,15.7,49.51,13.62
98.94,171,29.55,32.57
63.37,123.16,30.83,29.48
115.33,132.05,16.25,3.29
6.65,21.95,30.58,34.72
14.6,33.18,25.39,22.32
39.82,136.94,40.71,13.09
11.5,145.7,40.83,24.56
19.66,27.02,48.05,12.23
89.92,106.4,11.62,23.82
100.18,194.71,45.09,36.64
118.51,237.1,25.27,29.8
62.63,89.85,46.62,26.11
43.68,167.13,17.5,0.42
109.79,198.48,31.21,39.13
183.89,188.96,29.02,4.09
92.55,93.76,44.59,20.55
99.05,171.51,39.11,8.52
19.89,147.35,16.7,39.31
49.67,59.29,19.66,21.35
109.52,152.08,48.45,34.47
38.7,212.37,33.43,24.9
52.38,56.65,30.79,11.97
145.64,187.44,20.84,33.73
111.11,148.49,32.33,17.57
49.78,66.48,23.83,17.95
38.95,43.57,17.24,3.8
142.92,198.15,18.5,29.46
55.27,192.76,24.36,23.35
112.38,144.98,48.92,14.19
4.23,52.94,20.78,4.35
5.43,146.14,24.28,37
18.12,47.34,10.41,10.39
17.5,233.37,42.46,25.32
1.74,21.45,21.35,24.52
103.45,134.48,39.3,29.78
23.59,58.32,34.53,26.25
4.08,229.98,14.97,31.11
54.51,204.43,47.9,24.82
97.12,169.7,12.67,1.64
76.53,123.38,34.4,7
167.89,227.45,30.18,14.35
45.82,161.62,21.81,28.89
10.51,57.29,24.39,17.66
92.45,191.23,48.14,33.76
134.34,157.78,27.45,15.6
9.2,21.4,38.97,23.46
40.65,133.75,12.79,8.58
13.7,63,19.31,26.4
71.74,125.49,32.14,32.31
43.7,119.02,19.99,14.59
75.77,160.52,36.21,37.58
3.82,23.85,40.74,36.49
64.89,235.37,29.1,10.35
24.54,78.09,16.18,22.23
98.46,145.48,40.03,5.31
186.42,233.55,41.89,27.29
18.79,26.86,21.96,7.88
194.79,239.13,41.63,18.39
13.32,76.54,47.97,5.58
0.38,11.13,24.09,4.79
48,71.47,24.44,19.57
59.42,112.79,37.4,14.24
128.74,129.49,33.87,15.91
203.09,215.08,20.44,34.75
63.26,190.81,18.2,6.38
74.68,158.84,25.83,29.76
26.83,35.36,36.55,1.45
9.54,17.26,23.53,32.32
42.64,109.1,36.72,13.69
195.03,245.49,41.76,7.68
48.61,73.31,46.77,23.35
38.29,81.58,20.57,5.16
147.59,148.69,42.94,15.94
17.71,28.31,45.34,9.26
51.05,242.7,39.89,6.7
57.28,86.61,11.41,35.08
94.74,112.76,30.65,3.83
28.56,49.03,23.49,1.37
53.14,98.91,18.06,32.99
62.22,194.44,13.79,34.51
16.94,93.34,23.68,17.4
19.79,163.33,15.23,30.63
10.55,15.49,16.58,21.03
19.73,63.04,22.91,37.23
219.66,232.31,33.91,8.5
14.95,45.8,41.92,33.85
109.66,127.11,24.55,22.93
62.73,158.11,12.25,12.93
18.14,66.34,44.3,37.94
86.68,136.51,34.61,17.11
122.88,207.11,40.44,8.69
95.64,102.93,19.57,25.83
1.57,17.89,43.65,7.86
53.37,121.44,20.97,39.38
73.46,126.54,28.1,3.21
48.23,62.18,34.09,15.64
149.26,164.42,33.67,3.24
134.95,198.03,28.56,24.44
10.07,46.32,30.75,10.26
30.83,32.78,36.26,32.66
9.58,11.92,33.32,35.92
14.13,35.33,30.8,2.64
159.89,211.09,39.98,24.37
109.33,147.42,36.38,28.09
213.18,224.58,33.78,33.39
117.81,154.5,25.98,8.76
9.21,31.33,44.95,19.53
51.3,249.74,12.31,22.75
12.52,51.51,17.09,1.7
94.16,104.27,25.16,35.06
94.58,174.84,37.14,39.59
131.03,170.99,35.07,22.28
112.24,139.42,36.52,9.77
154.72,158.01,25.9,28.77
118.07,190.65,13.18,8.43
28.73,60.03,16.92,5.38
45.37,130.61,38.09,5.09
129.55,144.59,43.35,13.71
16.01,140.77,49.01,24.43
60.13,87.39,16.07,0.66
140.92,141.96,33.42,0.91
27.48,237.69,13.11,31.79
41.51,57.36,45.15,10.79
26.53,74.66,29.48,25.26
2.76,87.52,41.58,4.42
136.33,187.95,11.77,6.06
117.33,234.49,30.62,13.2
14.83,15.41,24.4,33.55
68.42,168.07,36.51,36.15
145.43,238.59,24.92,31.06
119.49,223.4,31.92,15.22
0.15,39.56,43.65,14.97
56.71,140.53,44.22,3.41
95.45,180.82,25.57,32.17
25.18,35.92,42.5,10.5
154.84,182.45,12.4,35.24
154.55,182.06,43.85,24.68
22.46,65.83,47.28,1.98
20.16,52.03,14.29,6.69
39.56,62.83,42.49,13.72
17.58,228.23,47.26,17.59
1.3,21.34,10.45,17.25
30.08,76.24,23.13,2.08
15.98,43.75,24.52,16.63
138.82,143.77,13.45,13.65
27.29,29.03,47.27,2.34
180.87,237.28,10.23,8.11
27.53,66.67,40.19,32.4
187.74,204.67,25.07,2.63
125.53,153.33,38.76,32.77
48.7,61.99,32.04,15.49
9.3,29.54,42.62,17.56
33.66,40.57,33.64,35.24
172.38,206.86,14.04,26.05
14.03,45.85,33.2,20.43
188.22,196.2,30.26,22.42
24.87,174.82,17.78,17.62
5.26,19.79,30.15,12.35
21.59,145.28,31.08,33.65
11.88,35.01,29.59,27.53
2.24,88.71,43.69,7.37
5.83,39.14,46.23,1.86
43.39,152.17,23.61,32.31
91.12,129.48,39.04,38.47
84.93,109.2,24.79,0.8
211.34,227.85,13.25,27.77
108.53,116.11,44.92,35.25
15.05,35.51,30.71,14.36
40.9,53.09,15.66,2.3
194.08,214.09,25.36,22.01
3.13,19.11,25.43,35.29
76.47,112.96,32.03,39.24
45.66,96.64,36.85,39.11
0.73,94.26,45.41,7.72
26.74,74.97,19.33,33.35
61.07,117.84,31.6,15.4
14.86,85.52,37.08,26.5
63.65,82.01,28.62,20.72
121.22,231.33,22.03,16.75
16.62,137.43,19.93,23.95
145.32,160.29,44.99,6.75
10.3,135.14,36.07,21
59.17,156.51,22.57,2.5
33.72,105.88,24.83,17.48
23.92,30.17,21,23.21
38.36,87.27,20.96,26.62
41.03,44.01,40.58,10.07
45.23,69.2,15.31,20.31
16.63,28.6,40.43,3.1
65.31,147.54,26.02,26.72
28.69,39.07,43.69,1.49
157.11,158.55,37.47,7.53
9.85,16.2,20.33,11.04
147.38,173.65,47.57,32.49
12.68,68.33,23.2,37.38
34.48,116.06,28,12.86
26.31,142.98,10.39,36.86
105.88,211.45,19.61,15.98
149.98,169.64,38.7,29.9
42.02,89.53,18.48,29.39
6.36,31.03,37.64,38.09
40.96,152.88,13.2,34.18
44.97,54.68,39.34,32.11
15.38,17.88,15.15,12.39
0.23,161.91,19.03,38.8
49.3,64.95,12.79,16.88
0.2,51.82,29.96,8.48
54.43,229.29,40.56,5.49
6.92,219.58,18.99,23.77
30.12,65.25,30.55,17.19
97.63,157.98,40.85,25.99
118.09,178.61,29.2,28.12
140.39,193.99,38.09,27.64
94.49,194.49,20.43,0.21
56.14,173.88,11.46,38.34
67.35,238.2,21.26,21.35
40.34,195.89,13.8,27.01
7.42,210.01,36.06,38.23
4.19,162.51,42.79,12.07
91.99,168.18,48.36,36.44
17.44,209.1,10.74,33.53
214.95,229.9,21.27,32.74
31.61,44.5,40.98,5.36
4.05,146.01,25.2,6.81
27.47,80.41,35.24,10.79
86.44,242.56,26.31,5.56
6.62,95.24,15.38,20.66
14.36,248.62,33.19,9.49
9.68,14.78,22.44,34.79
88.04,152.61,24.79,23.19
52.58,213.14,33.39,4.64
33.95,176.71,22.19,23.74
91,146.34,46.24,2.74
96.05,167.81,48.89,24.38
7.79,10.82,33.39,37.02
12.83,60.95,18.8,5.13
4.55,35.72,39.9,3.95
39.19,81.85,22.71,37.85
225.42,231.02,26.13,21.08
144.5,193.26,38.14,35.98
153.28,191.27,37.48,4.93
143.83,193.03,28.08,15.99
77.27,160.31,43.42,5.44
112.49,131.68,30.6,5.25
43.04,92.25,10.56,0.28
0.83,161.39,47.95,23.54
17.61,19.75,38.86,38.65
99.37,126.54,44.02,22.38
1.31,52.48,43.32,20.87
43.49,96.61,17.94,22.11
24.55,34.81,43.21,16.28
34.99,81.53,20.12,22.93
132.97,182.86,30.98,23.96
0.42,37.96,19.22,8.11
137.74,154.2,17.24,16.9
33.14,115.93,46.64,13.31
19.7,82.42,26.04,38.44
139.23,139.37,24.64,19.16
33.98,231.37,26.14,27.56
147.28,202.35,13.34,19.68
60.65,102.39,43.46,5.81
17.26,39.32,47.48,21.88
17.58,20.54,26.67,15.45
89.03,167.55,29.29,27.65
24.29,151.77,17.05,28.58
198.27,232.58,31.14,31.24
41.12,43.56,27.12,38
48.87,235.88,20.89,4.79
55.7,126.35,12.61,31.79
25.07,123.91,40.02,28.11
29.06,73.54,11.28,25.16
205.98,211.19,37.62,26.59
23.71,26.1,12.96,20.57
56.4,66.85,28.2,32.81
38.35,49.89,32.67,22.63
236.97,241.06,25.26,14.28
29.02,37.53,17.5,24.01
26.98,70.73,16.71,26.93
91.18,229.08,34.33,37.27
116.16,151.84,18,4.84
